 ,Mean(ROI),StdDev(ROI),Mean(pix1),StdDev(pix1),X(pix1),Y(pix1),Mean(pix2),StdDev(pix2),X(pix2),Y(pix2),Mean(pix3),StdDev(pix3),X(pix3),Y(pix3),X(ROI),Y(ROI)
1,204.618,7.293,211,0,2508,669,205,0,2736,699,209,0,2634,834,0,0
2,202.839,7.552,198,0,2508,669,213,0,2736,699,202,0,2634,834,0,0
3,197.369,8.046,209,0,2508,669,195,0,2736,699,202,0,2634,834,0,0
4,186.200,8.341,189,0,2508,669,188,0,2736,699,191,0,2634,834,0,0
5,168.143,7.943,176,0,2508,669,166,0,2736,699,171,0,2634,834,0,0
6,144.443,7.759,150,0,2508,669,142,0,2736,699,153,0,2634,834,0,0
7,108.343,6.882,118,0,2508,669,107,0,2736,699,118,0,2634,834,0,0
8,64.250,5.426,69,0,2508,669,67,0,2736,699,70,0,2634,834,0,0
9,20.751,2.527,24,0,2508,669,20,0,2736,699,22,0,2634,834,0,0
10,1.241,0.680,1,0,2508,669,1,0,2736,699,1,0,2634,834,0,0
11,6.705,1.710,10,0,2508,669,6,0,2736,699,8,0,2634,834,0,0
12,48.586,3.905,50,0,2508,669,58,0,2736,699,50,0,2634,834,0,0
13,95.513,6.275,104,0,2508,669,102,0,2736,699,94,0,2634,834,0,0
14,134.778,7.409,143,0,2508,669,139,0,2736,699,132,0,2634,834,0,0
15,163.474,7.459,173,0,2508,669,158,0,2736,699,168,0,2634,834,0,0
16,180.825,7.882,185,0,2508,669,185,0,2736,699,189,0,2634,834,0,0
17,193.116,8.092,197,0,2508,669,201,0,2736,699,189,0,2634,834,0,0
18,201.178,7.911,204,0,2508,669,219,0,2736,699,212,0,2634,834,0,0
19,204.255,7.467,206,0,2508,669,222,0,2736,699,214,0,2634,834,0,0
20,202.974,6.878,209,0,2508,669,196,0,2736,699,207,0,2634,834,0,0
21,196.712,7.700,206,0,2508,669,197,0,2736,699,200,0,2634,834,0,0
22,184.730,7.562,189,0,2508,669,179,0,2736,699,198,0,2634,834,0,0
23,167.659,7.713,174,0,2508,669,163,0,2736,699,174,0,2634,834,0,0
24,143.822,7.519,141,0,2508,669,141,0,2736,699,148,0,2634,834,0,0
25,107.695,6.487,112,0,2508,669,106,0,2736,699,115,0,2634,834,0,0
26,58.833,5.161,62,0,2508,669,59,0,2736,699,68,0,2634,834,0,0
27,15.683,2.215,20,0,2508,669,18,0,2736,699,16,0,2634,834,0,0
28,1.040,0.625,0,0,2508,669,2,0,2736,699,2,0,2634,834,0,0
29,9.868,1.931,10,0,2508,669,10,0,2736,699,11,0,2634,834,0,0
30,49.151,3.934,50,0,2508,669,51,0,2736,699,49,0,2634,834,0,0
31,95.473,6.266,100,0,2508,669,99,0,2736,699,85,0,2634,834,0,0
32,134.577,7.532,140,0,2508,669,144,0,2736,699,134,0,2634,834,0,0
33,163.826,7.362,175,0,2508,669,162,0,2736,699,167,0,2634,834,0,0
34,181.253,7.583,184,0,2508,669,184,0,2736,699,177,0,2634,834,0,0
35,194.030,7.734,198,0,2508,669,208,0,2736,699,197,0,2634,834,0,0
36,201.371,7.559,200,0,2508,669,217,0,2736,699,203,0,2634,834,0,0
37,204.181,7.877,210,0,2508,669,202,0,2736,699,215,0,2634,834,0,0
